nohup: ignoring input
pid:  947291
Using SSIM loss,Mixing rate is:  [0, 0.5, 1]
==>Building network:
train vit net
2023-09-12 02:31:49,727 - mmseg - WARNING - The model and loaded state dict do not match exactly

unexpected key in source state_dict: cls_head.cls.weight, cls_head.cls.bias

Training model named:   vit4-7pg_cur4_all
Models and tensorboard events files are saved to:   /opt/data/private/wjy/PlaneDepth/log_err
Training is using:   cuda
change level from: -1 to: 0
Using split:
   eigen_zhou
There are 39810 training items , 697 validation items

Has Removed old log files at:   /opt/data/private/wjy/PlaneDepth/log_err/vit4-7pg_cur4_all
Loading ground truth depths... √

Starting from epoch 0 and current learning rate for depth is 5e-05 and pose lr is 0.0001
==>Training started...
epoch   6 | batch   4644 | examples/s:  13.5 | loss: 0.08055 |contrast: 0.00384 with w=0.80000 and real: 0.00480
epoch   7 | batch    168 | examples/s:  13.8 | loss: 0.07857 |contrast: 0.00363 with w=0.80000 and real: 0.00454
epoch   7 | batch    668 | examples/s:  13.1 | loss: 0.07863 |contrast: 0.00364 with w=0.80000 and real: 0.00455
epoch   7 | batch   1168 | examples/s:  13.7 | loss: 0.07905 |contrast: 0.00363 with w=0.80000 and real: 0.00454
epoch   7 | batch   1668 | examples/s:  13.4 | loss: 0.07914 |contrast: 0.00363 with w=0.80000 and real: 0.00453
epoch   7 | batch   2168 | examples/s:  13.7 | loss: 0.07939 |contrast: 0.00363 with w=0.80000 and real: 0.00453
epoch   7 | batch   2668 | examples/s:  13.6 | loss: 0.07929 |contrast: 0.00362 with w=0.80000 and real: 0.00453
epoch   7 | batch   3168 | examples/s:  13.6 | loss: 0.07927 |contrast: 0.00361 with w=0.80000 and real: 0.00452
epoch   7 | batch   3668 | examples/s:  13.6 | loss: 0.07921 |contrast: 0.00361 with w=0.80000 and real: 0.00451
epoch   7 | batch   4168 | examples/s:  13.8 | loss: 0.07912 |contrast: 0.00360 with w=0.80000 and real: 0.00450
epoch   7 | batch   4668 | examples/s:  13.5 | loss: 0.07905 |contrast: 0.00359 with w=0.80000 and real: 0.00449
epoch   8 | batch    192 | examples/s:  13.7 | loss: 0.07727 |contrast: 0.00623 with w=1.60000 and real: 0.00389
epoch   8 | batch    692 | examples/s:  13.6 | loss: 0.07803 |contrast: 0.00602 with w=1.60000 and real: 0.00377
epoch   8 | batch   1192 | examples/s:  13.6 | loss: 0.07841 |contrast: 0.00589 with w=1.60000 and real: 0.00368
epoch   8 | batch   1692 | examples/s:  13.5 | loss: 0.07852 |contrast: 0.00583 with w=1.60000 and real: 0.00365
epoch   8 | batch   2192 | examples/s:  13.7 | loss: 0.07880 |contrast: 0.00579 with w=1.60000 and real: 0.00362
epoch   8 | batch   2692 | examples/s:  13.7 | loss: 0.07872 |contrast: 0.00574 with w=1.60000 and real: 0.00359
epoch   8 | batch   3192 | examples/s:  13.5 | loss: 0.07875 |contrast: 0.00570 with w=1.60000 and real: 0.00356
epoch   8 | batch   3692 | examples/s:  13.7 | loss: 0.07870 |contrast: 0.00567 with w=1.60000 and real: 0.00355
epoch   8 | batch   4192 | examples/s:  13.8 | loss: 0.07864 |contrast: 0.00564 with w=1.60000 and real: 0.00353
epoch   8 | batch   4692 | examples/s:  13.7 | loss: 0.07856 |contrast: 0.00562 with w=1.60000 and real: 0.00351
epoch   9 | batch    216 | examples/s:  13.4 | loss: 0.07676 |contrast: 0.00537 with w=1.60000 and real: 0.00336
epoch   9 | batch    716 | examples/s:  13.4 | loss: 0.07728 |contrast: 0.00529 with w=1.60000 and real: 0.00331
epoch   9 | batch   1216 | examples/s:  13.7 | loss: 0.07759 |contrast: 0.00528 with w=1.60000 and real: 0.00330
epoch   9 | batch   1716 | examples/s:  13.5 | loss: 0.07767 |contrast: 0.00528 with w=1.60000 and real: 0.00330
epoch   9 | batch   2216 | examples/s:  13.4 | loss: 0.07781 |contrast: 0.00527 with w=1.60000 and real: 0.00329
epoch   9 | batch   2716 | examples/s:  12.6 | loss: 0.07773 |contrast: 0.00526 with w=1.60000 and real: 0.00329
epoch   9 | batch   3216 | examples/s:  13.7 | loss: 0.07773 |contrast: 0.00525 with w=1.60000 and real: 0.00328
epoch   9 | batch   3716 | examples/s:  13.6 | loss: 0.07766 |contrast: 0.00524 with w=1.60000 and real: 0.00328
epoch   9 | batch   4216 | examples/s:  13.6 | loss: 0.07765 |contrast: 0.00523 with w=1.60000 and real: 0.00327
epoch   9 | batch   4716 | examples/s:  13.5 | loss: 0.07758 |contrast: 0.00522 with w=1.60000 and real: 0.00326
epoch  10 | batch    240 | examples/s:  13.8 | loss: 0.07716 |contrast: 0.00882 with w=3.20000 and real: 0.00276
epoch  10 | batch    740 | examples/s:  13.7 | loss: 0.07743 |contrast: 0.00854 with w=3.20000 and real: 0.00267
epoch  10 | batch   1240 | examples/s:  13.4 | loss: 0.07784 |contrast: 0.00839 with w=3.20000 and real: 0.00262
epoch  10 | batch   1740 | examples/s:  13.1 | loss: 0.07810 |contrast: 0.00830 with w=3.20000 and real: 0.00259
epoch  10 | batch   2240 | examples/s:  13.6 | loss: 0.07824 |contrast: 0.00823 with w=3.20000 and real: 0.00257
epoch  10 | batch   2740 | examples/s:  13.1 | loss: 0.07826 |contrast: 0.00816 with w=3.20000 and real: 0.00255
epoch  10 | batch   3240 | examples/s:  13.0 | loss: 0.07833 |contrast: 0.00810 with w=3.20000 and real: 0.00253
epoch  10 | batch   3740 | examples/s:  13.5 | loss: 0.07823 |contrast: 0.00805 with w=3.20000 and real: 0.00252
epoch  10 | batch   4240 | examples/s:  13.3 | loss: 0.07818 |contrast: 0.00801 with w=3.20000 and real: 0.00250
epoch  10 | batch   4740 | examples/s:  13.5 | loss: 0.07812 |contrast: 0.00796 with w=3.20000 and real: 0.00249
change level from: 0 to: 1
epoch  11 | batch    264 | examples/s:  13.4 | loss: 0.08031 |contrast: 0.00022 with w=0.01000 and real: 0.02171
epoch  11 | batch    764 | examples/s:  13.5 | loss: 0.07933 |contrast: 0.00021 with w=0.01000 and real: 0.02146
epoch  11 | batch   1264 | examples/s:  12.9 | loss: 0.07922 |contrast: 0.00021 with w=0.01000 and real: 0.02148
epoch  11 | batch   1764 | examples/s:  12.8 | loss: 0.07910 |contrast: 0.00022 with w=0.01000 and real: 0.02160
epoch  11 | batch   2264 | examples/s:  13.1 | loss: 0.07887 |contrast: 0.00022 with w=0.01000 and real: 0.02170
epoch  11 | batch   2764 | examples/s:  13.5 | loss: 0.07862 |contrast: 0.00022 with w=0.01000 and real: 0.02177
epoch  11 | batch   3264 | examples/s:  13.5 | loss: 0.07850 |contrast: 0.00022 with w=0.01000 and real: 0.02180
epoch  11 | batch   3764 | examples/s:  13.0 | loss: 0.07828 |contrast: 0.00022 with w=0.01000 and real: 0.02191
epoch  11 | batch   4264 | examples/s:  13.4 | loss: 0.07812 |contrast: 0.00022 with w=0.01000 and real: 0.02197
epoch  11 | batch   4764 | examples/s:  13.6 | loss: 0.07794 |contrast: 0.00022 with w=0.01000 and real: 0.02204
epoch  12 | batch    288 | examples/s:  13.1 | loss: 0.07555 |contrast: 0.00023 with w=0.01000 and real: 0.02270
epoch  12 | batch    788 | examples/s:  13.5 | loss: 0.07577 |contrast: 0.00023 with w=0.01000 and real: 0.02279
epoch  12 | batch   1288 | examples/s:  13.5 | loss: 0.07613 |contrast: 0.00023 with w=0.01000 and real: 0.02279
epoch  12 | batch   1788 | examples/s:  12.9 | loss: 0.07629 |contrast: 0.00023 with w=0.01000 and real: 0.02289
